Run Type,Dataset,Accuracy,Precision,Recall,F1 Score,Disparate Impact,Statistical Parity Difference,PPV Parity,FPR Parity
Baseline,Income Census,0.839761299591115,0.7047244094488189,0.6275197195442594,0.6638850254983774,0.3589947942816373,-0.2036429050424906,0.002350156251330393,0.09439755308192355
Baseline,German Credit,0.7633333333333333,0.776,0.9282296650717703,0.8453159041394336,0.8806451612903226,-0.08525345622119818,0.04518329070758742,0.1253196930946292
Baseline,Recidivism Compass,0.6572748267898383,0.6873489121676067,0.7067108533554267,0.6968954248366013,0.8315486993345432,-0.10562351825509719,0.05051353874883291,0.11307322878150367
