Run Type,Dataset,Accuracy,Precision,Recall,F1 Score,Disparate Impact,Statistical Parity Difference,PPV Parity,FPR Parity
Baseline,Income Census,0.846502375953144,0.7284277395447326,0.61101243339254,0.6645737744506158,0.3852472657785247,-0.19060936827667813,0.02023212645437844,0.07463331022241995
Baseline,German Credit,0.75,0.7973568281938326,0.861904761904762,0.8283752860411899,0.7890986132511557,-0.15401926999085724,0.1578014184397164,0.012307692307692353
Baseline,Recidivism Compass,0.6757505773672056,0.6834966088922382,0.7628259041211102,0.7209856915739269,0.8172581767571329,-0.11421363952679198,0.017262167537726136,0.22132253711201083
